DatabaseName,TableName,ColumnName,DataType,ColumnType,IsNullable,ColumnKey,ColumnDefault,ExtraInfo
edtech_platform,banners,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,banners,title,varchar,varchar(255),YES,,NULL,
edtech_platform,banners,image_url,varchar,varchar(500),NO,,NULL,
edtech_platform,banners,is_active,tinyint,tinyint(1),YES,,1,
edtech_platform,banners,display_order,int,int,YES,,0,
edtech_platform,banners,created_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
edtech_platform,book_orders,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,book_orders,student_id,char,char(36),NO,MUL,NULL,
edtech_platform,book_orders,payment_order_id,char,char(36),NO,MUL,NULL,
edtech_platform,book_orders,tracking_id,varchar,varchar(255),YES,,NULL,
edtech_platform,book_orders,shipping_status,enum,"enum('PENDING','SHIPPED','DELIVERED','CANCELLED')",YES,,PENDING,
edtech_platform,book_orders,created_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
edtech_platform,book_orders,updated_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
edtech_platform,books,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,books,title,varchar,varchar(255),NO,,NULL,
edtech_platform,books,price,decimal,"decimal(10,2)",NO,,NULL,
edtech_platform,books,stock_quantity,int,int,YES,,0,
edtech_platform,books,is_digital,tinyint,tinyint(1),YES,,0,
edtech_platform,books,pdf_url,varchar,varchar(500),YES,,NULL,
edtech_platform,books,created_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
edtech_platform,books,updated_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
edtech_platform,exam_registrations,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,exam_registrations,student_id,char,char(36),NO,MUL,NULL,
edtech_platform,exam_registrations,exam_id,char,char(36),NO,MUL,NULL,
edtech_platform,exam_registrations,payment_order_id,char,char(36),NO,MUL,NULL,
edtech_platform,exam_registrations,admit_card_url,varchar,varchar(500),YES,,NULL,
edtech_platform,exam_registrations,result_score,decimal,"decimal(5,2)",YES,,NULL,
edtech_platform,exam_registrations,created_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
edtech_platform,exam_registrations,updated_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
edtech_platform,exam_sessions,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,exam_sessions,registration_id,char,char(36),NO,UNI,NULL,
edtech_platform,exam_sessions,session_token,varchar,varchar(255),NO,UNI,NULL,
edtech_platform,exam_sessions,status,enum,"enum('ACTIVE','SUBMITTED','EXPIRED')",YES,,ACTIVE,
edtech_platform,exam_sessions,time_remaining,int,int,NO,,NULL,
edtech_platform,exam_sessions,ip_address,varchar,varchar(45),YES,,NULL,
edtech_platform,exam_sessions,user_agent,text,text,YES,,NULL,
edtech_platform,exam_sessions,is_flagged,tinyint,tinyint(1),YES,,0,
edtech_platform,exam_sessions,started_at,timestamp,timestamp,YES,,NULL,
edtech_platform,exam_sessions,completed_at,timestamp,timestamp,YES,,NULL,
edtech_platform,exam_sessions,created_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
edtech_platform,exam_sessions,updated_at,timestamp,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
edtech_platform,exams,id,char,char(36),NO,PRI,uuid(),DEFAULT_GENERATED
edtech_platform,exams,subject_id,char,char(36),NO,MUL,NULL,
edtech_platform,exams,created_by,char,char(36),YES,MUL,NULL,
edtech_platform,exams,title,varchar,varchar(255),NO,,NULL,
edtech_platform,exams,start_time,timestamp,timestamp,NO,MUL,NULL,
